fips,county,certified,certification_date,certification_deadline,meeting_date,meeting_time,broadcast_available,broadcast_platform,broadcast_url,broadcast_meeting_id,in_person_only,broadcast_notes,broadcast_source,ballots_cast,registered_voters,turnout_pct,notes,source_url
13095,Dougherty,No,,2026-05-25,,,,,,,,,,,,,"As of May 21, 2026, the Dougherty County website does not contain any announcement or document confirming the certification of the May 19, 2026 primary results. The Board of Elections is scheduled to meet on the third Wednesday of every month (May 20, 2026), but no minutes or results from that meeting have been posted.","[Dougherty County Elections](https://www.dougherty.ga.us/Government/Dougherty-County-Departments/Voter-Registration-and-Elections), [Current Election Page](https://www.dougherty.ga.us/Government/Dougherty-County-Departments/Voter-Registration-and-Elections/Current-Election)"
13097,Douglas,No,,2026-05-25,2026-05-26,5:00 PM,Unknown,,,,No,"The Board of Elections meeting for certification is scheduled for May 26, 2026, at 5:00 PM at the Douglas County Courthouse. No livestream details were provided in the official notice. Past meetings have been posted to YouTube but recent election board meetings are not consistently streamed live.","[Elections & Voter Registration | Douglas County, GA](https://www.douglascountyga.gov/274/Elections-Voter-Registration), [Board Meetings | Douglas County, GA](https://www.douglascountyga.gov/550/Board-Meetings)",,,,"Certification of the May 19, 2026 primary is scheduled for Tuesday, May 26, 2026, at 5:00 PM at the Douglas County Courthouse. A risk-limiting audit is scheduled for May 29, 2026. May 25, 2026 is Memorial Day.",[County Elections Page](https://www.douglascountyga.gov/274/Elections-Voter-Registration)
13099,Early,No,,2026-05-25,,,,,,,,,,,,,"As of late May 21, 2026, no official announcement of certification was found on the Early County website. The Board of Elections meets regularly on the 2nd Wednesday of each month, but certification typically occurs at a special meeting following the election. The statutory deadline is May 25, 2026.","[County Elections](https://www.earlycountyga.org/board-of-elections), [Agenda & Minutes](https://www.earlycountyga.org/agenda-minutes)"
13101,Echols,No,,2026-05-25,2026-05-26,5:00 PM,No,,,,Yes,"The county's election notices specify that certification and related events are open to public viewing at the Elections office in Statenville, but there is no mention of a broadcast or livestream.",[Echols County Election Notices](https://echolscountyga.com/departments/registrar-vote/#hbs-election-notices),,,,"The certification of the May 19, 2026 General Primary Election is scheduled to take place on Tuesday, May 26, 2026, at 5:00 P.M. at the Echols County Elections office. A Risk Limiting Audit is scheduled for May 29, 2026.",[County Elections Page](https://echolscountyga.com/departments/registrar-vote/)
13103,Effingham,No,,2026-05-25,2026-05-26,9:30 AM,Unknown,,,,No,"The Effingham County Board of Elections next scheduled meeting is Tuesday, May 26, 2026, at 9:30 AM. While the Board of Commissioners and Planning Board meetings are regularly livestreamed on the county's YouTube channel, there is no evidence or specific notice indicating that Board of Elections meetings are broadcast or livestreamed. Past Board of Elections agendas are posted in the county's meeting portal but do not include video/audio links.","[Effingham County Elections & Registration](https://www.effinghamcounty.org/248/Elections-Registration), [Effingham County Meeting Portal](https://meetings.municode.com/PublishPage/index?cid=EFFINGHAM&ppid=3f5e8270-7f24-410e-b3ea-136c805afa2e&p=1), [Effingham County YouTube](https://www.youtube.com/@EffinghamCountyGA/streams)","11,311","Nearly 50,000",22.6%,"Results remain unofficial. The Board of Elections is scheduled to certify the results during its meeting on Tuesday, May 26, 2026, at 9:30 AM. Reported turnout was 22.6%.","[County Elections Page](https://www.effinghamcounty.org/248/Elections-Registration), [Effingham Herald](https://www.effinghamherald.net/local/effingham-county-primary-burdette-anderson-win-results-county-commission-district-2-board-of-education-guyton-city-council/)"
13105,Elbert,No,,2026-05-25,,,,,,,,,,1307 (Advance/Early),,,"As of May 21, 2026, the official website still shows election data 'As of May 18, 2026' and only lists advance/early voting totals. No certification announcement or official final results were found. Unofficial results with 'all precincts reporting' were reported by local media on election night.",[County Elections](https://elbertga.us/elections-registration.php)
13107,Emanuel,No,,2026-05-25,2026-05-25,,Unknown,,,,No,"The county website states that Board of Elections meetings are open to the public and that the board meets a few days after the election to certify results, but no livestream information or links were provided on the official elections or agenda pages.","[Elections and Voter Registration](https://www.emanuelco-ga.gov/151/Elections-and-Voter-Registration), [Board of Elections](https://www.emanuelco-ga.gov/333/Board-of-Elections)",,,,"As of May 21, 2026, there is no explicit announcement on the Emanuel County website or local news that the May 19 primary results have been certified. Official county policy states that the board meets 'a few days later' to certify, and state law requires certification by the following Monday (May 25, 2026). No certification meeting was listed on the county calendar for May 20-22. Unofficial results for 2026 races are not yet posted in the county's election archive.","[County Elections Page](https://www.emanuelco-ga.gov/151/Elections-and-Voter-Registration), [Board of Elections](https://www.emanuelco-ga.gov/333/Board-of-Elections)"
13109,Evans,No,,2026-05-25,,,,,,,,,,,,,"As of May 21, 2026, there is no official notice on the Evans County elections website or in local news confirming that the May 19, 2026 primary results have been certified. The statutory deadline for county certification in Georgia is May 25, 2026.",[Evans County Elections](https://evanscounty.org/departments/elections/)
13111,Fannin,No,,2026-05-25,2026-06-01,,No,,,,Yes,Board of Elections meetings are held in person at the Board of Elections office. No evidence of a livestream was found on the official website or social media. Past listings indicate meetings are in-person only.,"[Fannin County Board of Elections](https://fannincountyga.com/board-of-elections/), [Georgia Peanut Gallery Meeting List](https://georgiapeanutgallery.org/2021/03/01/march-2021-board-of-elections-meeting-list/)",,,,"As of May 21, 2026, no official notice of certification has been posted on the Fannin County Board of Elections website. The Board holds regular meetings on the first Monday of each month (the next being June 1, 2026), but typically holds a special meeting for election certification before the statutory deadline of May 25, 2026. Preliminary data from the 'Daily Absentee Statistical Reporting' for May 19 showed 156 accepted absentee-by-mail ballots and 2,596 advanced in-person votes, but total ballots cast for the primary have not yet been officially reported.",[County Elections](https://fannincountyga.com/board-of-elections/)
13113,Fayette,No,,2026-05-25,2026-05-22,3:00 PM,Yes,YouTube,[Fayette County BOC YouTube](https://www.youtube.com/@FayetteCountyBOC/streams),,No,"Board of Elections meetings are livestreamed to the Fayette County BOC YouTube channel. No specific link for the May 22 meeting is available yet, but past meetings are archived there.",[Fayette County Board of Elections](https://fayettecountyga.gov/government/boards_commissions/board_of_elections/index.php),"32,717","91,385",35.8%,"A Special Called Board Meeting is scheduled for Friday, May 22, 2026, at 3:00 P.M. to review precinct returns and canvass results. Official county and Secretary of State websites currently label results as unofficial. Reported ballots cast sum of US Senate primary contests (15,975 Rep + 16,742 Dem).","[Fayette County Elections](https://fayettecountyga.gov/departments/elections/index.php), [Secretary of State Results](https://results.sos.ga.gov/results/public/fayette-county-ga/elections/GeneralPrimary51926)"
13115,Floyd,No,,2026-05-25,2026-05-22,5:15 PM,No,,,,Yes,"The meeting notice explicitly states the meeting is 'open to the public' at the Floyd County Election Center with no mention of a livestream or remote option. Past Board of Elections meetings were on Zoom during the pandemic but current notices for elections meetings do not provide links. Board of Commissioners meetings are streamed, but Board of Elections meetings typically are not.",[Floyd County Board of Elections & Registration - Special Called Meeting](https://www.floydcountyga.gov/bc-board-elections/page/floyd-county-board-elections-registration-special-called-meeting-44),"16,976","63,584",26.70%,"A special called meeting to certify the May 19, 2026 General Primary results is scheduled for Friday, May 22, 2026, at 5:15 p.m. As of May 21, 2026, results remain unofficial and incomplete.","[County Elections Page](https://www.floydcountyga.gov/elections/page/election-results), [Meeting Notice](https://www.floydcountyga.gov/elections/page/meeting-notices)"
13117,Forsyth,No,,2026-05-25,2026-05-26,9:00 AM,No,,,,Yes,"While the board recently voted to start recording meetings, no livestream link is provided on the agenda. TV Forsyth live streams only BOC, Planning, and Zoning meetings.","[Forsyth County Meetings](https://www.forsythco.com/Meetings), [Meeting Agenda May 26 2026](https://www.forsythco.com/portals/0/PNM/Meeting/5149/ec240f14-5f6e-47f0-9786-122a52eeda9f.pdf)",,,,"The Forsyth County Board of Voter Registrations & Elections is scheduled to certify the May 19, 2026 General Primary results on Tuesday, May 26, 2026, at 9 a.m. at the Voter Registrations & Elections Office in Cumming, GA. Results remain unofficial until that time.","[County Elections Page](https://www.forsythco.com/Departments-Offices/Voter-Registrations-Elections/Elections-Board), [Certification Notice](https://www.forsythco.com/LinkClick.aspx?fileticket=eN9RECzK4gk%3D&portalid=0)"
13119,Franklin,No,,2026-05-25,2026-05-22,12:15 PM,No,,,,Yes,The election certification meeting is scheduled to be held in person at the Elections Office. No livestream or remote broadcast option is mentioned on the county website or meeting agenda.,[Franklin County Elections & Registration](https://www.franklincountyga.gov/1301/Elections-Registration),,,,"The Franklin County Board of Elections has a certification meeting scheduled for May 22, 2026, at 12:15 PM. As of May 21, 2026, the results have not yet been certified.","[County Elections Page](https://www.franklincountyga.gov/1301/Elections-Registration), [Certification Meeting Agenda](https://www.franklincountyga.gov/AgendaCenter/ViewFile/Agenda/_05222026-237)"
13121,Fulton,No,,2026-05-25,2026-05-22,11:00 AM,Yes,YouTube,[FGTV YouTube](https://www.youtube.com/user/FultonGovernmentTV),,No,"Meetings held at the Elections Hub and Operations Center are live-streamed on FGTV's YouTube Channel. The certification meeting is scheduled for May 26, 2026, at 3 p.m.",[Fulton County Registration and Elections Board](https://www.fultoncountyga.gov/inside-fulton-county/fulton-county-departments/registration-and-elections/registration-and-elections-board),"211,563 (combined Republican and Democratic US Senate primary votes recorded as of May 20, 2026)",,,"The Fulton County Board of Registration and Elections has scheduled a special called Pre-Certification Meeting for Friday, May 22, 2026, at 11 a.m. at the Fulton County Elections Hub and Operations Center to review documentation and results. Official certification has not yet occurred as of May 21, 2026. Unofficial results as of May 20 show 163,441 votes in the Democratic US Senate primary and 48,122 votes in the Republican US Senate primary.","[Fulton County Board of Registration and Elections](https://www.fultoncountyga.gov/News/2026/05/20/Fulton-County-Board-of-Registration-and-Elections-Hold-Pre-Certification-Meeting), [Fulton County Election Results](https://results.enr.clarityelections.com/GA/Fulton/126194/)"
13123,Gilmer,No,,2026-05-25,2026-05-22,,Unknown,YouTube,[Gilmer Citizen Forum YouTube](https://www.youtube.com/@GilmerCitizenForum),,No,"A YouTube channel 'Gilmer Citizen Forum' has posted recordings of past board meetings, but there is no confirmation of a live broadcast for the certification meeting. The board discussed transparency and public observation but primarily in-person at the registrar's office.","[Board of Elections & Registration - Gilmer County Georgia](https://gilmercounty-ga.gov/voter-registration/), [Gilmer Citizen Forum YouTube](https://www.youtube.com/@GilmerCitizenForum)",,"23,768",,"The Gilmer County Board of Elections and Registration is scheduled to meet for election certification on Friday, May 22, 2026, as discussed in their February 23, 2026 meeting (moving it from the May 25 Memorial Day holiday). As of May 21, results remain unofficial.","[County Elections Page](https://gilmercounty-ga.gov/voter-registration/), [Gilmer Board Meeting Video](https://www.youtube.com/watch?v=jRvN7nSkNB8)"
13125,Glascock,Yes,2026-05-20,2026-05-25,,,,,,,,,,643,"2,114",30.42%,"Election results for the May 19, 2026 General Primary are marked as ""Official & Complete"" in the county's summary report generated on May 20, 2026 and posted to the county news on May 21, 2026.",[County Elections Page](https://www.glascockcountyga.com/elections/page/2026-may-19-election-report)
13127,Glynn,No,,2026-05-25,2026-05-22,3:00 PM,No,,,,Yes,"The meeting agenda and notice provide no livestream or remote participation information, only a physical location. While the county streams Commission meetings to YouTube and its portal, Board of Elections meetings are archived on Granicus without live video buttons.","[Meeting Notice](https://www.glynncounty.org/events/2026-05-22special-called-primary-certification-meeting), [Meeting Agenda](https://glynncounty.granicus.com/AgendaViewer.php?view_id=10&event_id=923)","15,649","61,241",25.55%,"Certification is scheduled for a Special Called Meeting on Friday, May 22, 2026, at 3:00 PM. Results are currently marked as 'Unofficial and Incomplete'.","[County Elections Page](https://www.glynncounty.org/government/departments/elections-voter-registration/election-results), [Board Meeting Agenda](https://granicus_production_attachments.s3.amazonaws.com/glynncounty/73b967231608c565d8d9b1f4b081dde30.html)"
13129,Gordon,No,,2026-05-25,2026-05-29,,No,,,,Yes,"The ""Computation and Canvassing Notice"" states that the process is open to the public at the Board of Elections office but does not provide a livestream or remote access option. Past Board of Elections meetings in the county's Agenda Center also lack video/media links, unlike Board of Commissioners meetings which are streamed to Vimeo.","[Gordon County Board of Elections Election Results and Information](https://www.gordoncountyga.gov/m/newsflash/Home/Detail/162), [Gordon County Agenda Center](https://www.gordoncountyga.gov/agendacenter)","8,488","40,157",21.14%,"The Gordon County website currently only shows 'Unofficial and Incomplete' results for the May 19, 2026 primary as of May 21, 2026. A Risk Limiting Audit is scheduled for May 29, 2026. Turnout was 21.14% based on the unofficial report. No certification announcement or board meeting for certification was found on the site.","[County Elections](https://www.gordoncountyga.gov/274/Board-of-Elections), [Election Information Archive](https://www.gordoncountyga.gov/Archive.aspx?AMID=60&Type=&ADID=), [Unofficial Results PDF](https://www.gordoncountyga.gov/Archive.aspx?ADID=755)"
13131,Grady,No,,2026-05-25,2026-05-22,10:30 AM,No,,,,Yes,"The meeting notice on the official county website states the certification meeting is held in person at the Elections Office in the Grady County courthouse, with no mention of a livestream.",[Grady County Elections & Registration](https://gradycountyga.gov/the-office-of-elections-registration/),"1,547 (Early/Absentee only)",,,"The Grady County Board of Elections has scheduled a pre-certification meeting for May 22, 2026, at 10:30 AM, followed immediately by the certification meeting for the May 19 primary results. As of May 21, the results are not yet certified. Early and absentee-by-mail data shows 1,547 ballots cast as of May 15.",[County Elections](https://gradycountyga.gov/the-office-of-elections-registration/)
13133,Greene,No,,2026-05-25,2026-05-22,3:00 PM,Unknown,,,,Unknown,"The Board of Elections and Registration Regular Meeting is scheduled for May 22, 2026, at 3:00 PM at the Board of Elections Office. No livestream link or broadcast platform was confirmed.",[Greene County CivicClerk Portal](https://greenecoga.portal.civicclerk.com/),"3,182 (total cumulative advanced/early ballots) + 2,836 (unofficial night reporting)","17,242",~10.0% (early/advanced only),"The Board of Elections has a meeting scheduled for tomorrow, Friday, May 22, 2026, at 3:00 PM to certify the May 19, 2026 General Primary and Nonpartisan Election results. Unofficial election night reporting showed 2,836 ballots scanned. Daily activity reports indicate 3,182 total early/advanced ballots cast. Voter registration is approximately 17,242.","[Greene County Board of Elections Agendas](https://greenecoga.portal.civicclerk.com/event/2405/files/agenda/5693), [Greene County Elections](https://www.greenecountyga.gov/1001/Elections)"
13135,Gwinnett,No,,2026-05-25,2026-05-22,,Yes,Webex,[Webex](https://gwinnettgov.webex.com),,No,The meeting notice explicitly states 'View meeting at gwinnettgov.webex.com'. No specific meeting ID or passcode was provided on the public notice or agenda.,"[Notice of Meeting](https://www.gwinnettcounty.com/static/upload/bac/6/20260526/n_95877_05.26.2026_BRE_Special_Called_Meeting_Notice___Certification.pdf), [Meeting Agenda](https://www.gwinnettcounty.com/static/upload/bac/6/20260526/a_38340_05.26.2026_BRE_Special_Called_Meeting_Agenda___Certification.pdf)","303,065","599,032",25.30%,"Certification meeting is scheduled for May 26, 2026, at 10:00 AM. A precertification meeting is scheduled for May 22, 2026. Results are currently unofficial and incomplete.","[County Elections](https://www.gwinnettcounty.com/government/departments/elections/election-results), [Public Meetings](https://www.gwinnettcounty.com/government/departments/elections/public-meetings/-/bacs/meetings/6/2026)"
13137,Habersham,No,,2026-05-25,2026-05-22,3:00 PM,No,,,,Yes,The agenda and county website specify the meeting is held in-person at the Elections Office. No livestream or remote access options were found for Board of Elections meetings.,"[Habersham County Calendar](https://www.habershamga.com/calendar?v=details&m=5&y=2026&d=22&t=meetings&i=5453), [Certification Meeting Agenda](https://www.habershamga.com/files/Meeting5453_AGENDA-May%2022-%202026%20Pre-Election%20Certification%20-%20Certification%20Meeting%20for%20the%20May%2019%202026%20GP-Special%20Elections.pdf)","9,083","31,611",28.73%,"The Board of Elections meeting for certification was rescheduled and combined with a meeting on Friday, May 22, 2026, at 3:00 p.m. Results as of May 21 are listed as 'Unofficial and Incomplete'.","[County Elections](https://www.habershamga.com/election-results.cfm), [Meeting Center](https://www.habershamga.com/agenda-center.cfm)"
13139,Hall,No,,2026-05-25,2026-05-22,,No,,,,Yes,"The public notice for the May 22, 2026 meeting indicates it will be held in-person at the Hall County Government Center. While the county streams Board of Commissioners meetings on Vimeo, no livestream information was provided for the Board of Elections certification meeting.","[Hall County Public Notice](https://www.hallcounty.org/DocumentCenter/View/22195/BOER-REVIEW-MEETING-MAY-22-2026), [Hall County Online Meetings](https://www.hallcounty.org/1097/Online-Meetings)","37,550","144,886",25.92%,"Results are currently listed as ""Unofficial and Incomplete"" on the county website. A Board of Elections and Registration (BOER) review meeting is scheduled for May 22, 2026. Reported turnout of 25.92% reflects 37,550 voters out of 144,886 registered.","[County Elections Page](https://www.hallcounty.org/1146/Election-Results), [Election Summary Report](https://www.hallcounty.org/DocumentCenter/View/22480)"
13141,Hancock,Unknown,,2026-05-25,2026-05-25,,Unknown,,,,No,"No livestream or broadcast information found for the Hancock County Board of Elections. The board typically meets in person at the Youth Opportunity Center in Sparta, GA. Past Board of Commissioners meetings have been streamed to Facebook, but no evidence was found for the Board of Elections.","[Hancock County Board of Elections](https://www.hancockcountyga.gov/board-of-elections), [Hancock County Public Meetings Portal](https://hancock.app.redclayservices.com/)",,,,"As of May 21, 2026, no notice of certification or specific board meeting for certification has been posted on the Hancock County elections website or its public meetings portal. The statutory deadline for Georgia counties to certify results is May 25, 2026.",[County Elections](https://www.hancockcountyga.gov/board-of-elections)
13143,Haralson,No,,2026-05-25,2026-06-16,,Unknown,,,,Unknown,"The county website and public notices for past elections (e.g., May 2024) indicate that the computation and canvassing of votes take place in person at the Board of Elections office. No livestream or remote access information for the Board of Elections specifically was found for the May 2026 primary. Board of Commissioners meetings are streamed on YouTube, but no evidence suggests Board of Elections meetings are included.","[Haralson County Board of Elections](https://www.haralsoncountyga.gov/board-of-elections.cfm), [Haralson County Election Central](https://www.haralsoncountyga.gov/election-central.cfm)","5,615 (Approximate based on Governor Republican and Democratic primary totals)",,,"As of May 21, 2026, results remain unofficial on the Georgia Secretary of State website. The Haralson County website has posted information for the upcoming June 16, 2026, runoff election, but no formal certification notice or Board of Elections meeting minutes confirming certification were found. Statutory deadline is May 25, 2026.","[Haralson County Election Central](https://www.haralsoncountyga.gov/election-central.cfm), [Georgia Secretary of State Unofficial Results](https://results.sos.ga.gov/results/public/haralson-county-ga/elections/GeneralPrimary51926)"
13145,Harris,No,,2026-05-25,2026-05-29,,No,,,,Yes,"Past Board of Elections certification meetings (e.g., May 2022, June 2022) were held in person at the Elections Office (757 Carver Circle, Hamilton) with no livestream or remote option provided.","[Harris County Board of Elections](https://www.harriscountyga.gov/board-of-elections-registration-2/), [Harris County YouTube Channel](https://www.youtube.com/@harriscountygeorgia-offici2082/streams)",,,,Certification meeting not yet listed; statutory deadline is May 25. Regular Board of Elections meetings were moved from 3rd to 2nd Tuesday of the month as of May 2026. Audit scheduled for May 29.,"[Harris County Agendas & Minutes](https://www.harriscountyga.gov/agendas-and-minutes/), [Harris County Board of Elections](https://www.harriscountyga.gov/board-of-elections-registration/)"
13147,Hart,No,,2026-05-25,2026-05-29,,Unknown,,,,Unknown,"No information found regarding a livestream for the Board of Elections certification meeting. Past minutes and agendas do not mention remote access or broadcasting. The Board of Commissioners streams on YouTube, but no Board of Elections streams were found there.","[Hart County Board of Elections](http://hartcountyga.gov/electionsboard.html), [Hart County Board of Elections Minutes](http://hartcountyga.gov/electionsmins.html)","4,646","19,430",23.91%,"The Election Summary Report for the May 19, 2026 primary is currently marked as ""Unofficial and Incomplete"" (as of May 20, 2026). Additionally, a public notice for the Risk Limiting Audit indicates the audit is scheduled to begin on May 29, 2026.",[County Elections Page](http://hartcountyga.gov/electionsboard.html)
13149,Heard,No,,2026-05-25,2026-05-22,5:00 PM,No,,,,Yes,"The Heard County Board of Elections meeting for certification on May 22, 2026, is listed as a regular in-person meeting. Public notices indicate that election processing and tabulation are open to public view at the office, but no livestreaming or remote access options were mentioned on the official website or social media.","[Heard County Board of Elections](https://www.heardcountyga.com/voterBoard.html), [Heard County Board of Elections Home](https://www.heardcountyga.com/voterReg.html)",,,,"The Board of Elections has a meeting scheduled for May 22, 2026, at 5:00 PM, which is the likely time for certification. As of May 22, 2026 (12:01 AM UTC), no certification notice or official results for the May 19 primary have been posted on the county website.","[County Elections](https://www.heardcountyga.com/voterBoard.html), [Election Results](https://www.heardcountyga.com/voterElectionResults.html)"
13151,Henry,No,,2026-05-25,2026-05-22,,Unknown,,,,No,"The Board of Elections 2026 meeting schedule confirms a Certification Meeting on May 26, 2026, at 1:00 PM at 1550 S. Zack Hinton Parkway, McDonough. No livestream link was found on the agenda.","[Henry County Board of Elections](https://www.henrycountyga.gov/567/Board-of-Elections-Voter-Registration), [Henry County 2026 Meeting Schedule](https://content.civicplus.com/api/assets/ga-henrycounty/f1568a78-249c-403d-8300-49043bd67feb?cache=1800)","Not explicitly reported as a total figure on the SOS page, but all precincts (37/37) have completed election night reporting.",Not explicitly reported for this primary on the county or SOS election results page.,Not explicitly reported.,"The Henry County Board of Elections has a certification meeting scheduled for May 26, 2026, at 1:00 PM. Results are currently marked as 'Unofficial'. Pre-certification meeting was held/scheduled for May 22, 2026.","[County Elections Page](https://www.henrycountyga.gov/305/Elections-Voter-Registration), [Agenda/Minutes](https://www.henrycountyga.gov/552/AgendaMinutes), [Election Results](https://results.sos.ga.gov/results/public/henry-county-ga/elections/GeneralPrimary51926)"
13153,Houston,No,,2026-05-25,2026-05-22,3:00 PM,No,,,,Yes,"The official public notice for the certification meeting specifies it will be held in person at the Board of Elections office, with no mention of a livestream or remote access option.",[Certification Meeting Notice](https://www.houstoncountyga.gov/skins/userfiles/files/Election%20Certify-Provisional%20Review%20-General%20Primary-Nonpartisan-Special%20May%2019%2C%202026.pdf),"15,267 (Early Voting In-Person Total)",,,"The Houston County Board of Elections is scheduled to meet on Friday, May 22, 2026, at 3:00 p.m. to review provisional ballots and certify the May 19, 2026 General Primary results. As of Friday morning, the results have not yet been certified. Reported ballots cast figure (15,267) reflects total early in-person voting as of the most recent report.","[Board of Elections - Houston County](https://www.houstoncountyga.gov/residents/board-of-elections.cms), [Election Certify-Provisional Review Notice](https://www.houstoncountyga.gov/skins/userfiles/files/Election%20Certify-Provisional%20Review%20-General%20Primary-Nonpartisan-Special%20May%2019%2C%202026.pdf), [Early Voting Totals](https://www.houstoncountyga.gov/residents/earlyvotingtotals.cms)"
13155,Irwin,No,,2026-05-25,2026-05-22,5:15 PM,No,,,,Yes,"The official notice and a Facebook update from the Elections Supervisor both state the meeting will take place in-person at the office (225 E 4th St, Ocilla, GA) with no mention of a livestream.","[Combined Notice](https://irwincounty-ga.gov/wp-content/uploads/2026/04/Combined-Logic-and-Accuracy-Test-and-Notice-of-Computation-Canvassing-and-Certification-2026.pdf?pid=39098), [Irwin Concerned Citizens Facebook](https://www.facebook.com/groups/732773775194808/posts/1284863153319198/)","1,951","6,115",31.91%,"Certification meeting scheduled for Friday, May 22, 2026, at 5:15 PM. Results posted as of May 19 are marked unofficial and incomplete.","[County Elections Page](https://irwincounty-ga.gov/departments/568/elections/), [May 19 Election Summary Report](https://irwincounty-ga.gov/wp-content/uploads/2026/05/ElectionSummaryReportRPT-8.pdf)"
13157,Jackson,No,,2026-05-25,,,,,,,,,,"15,273","65,508",23.31%,"Election results are currently listed as 'Unofficial & Complete' as of May 21, 2026. Turnout was 23.31%.",[County Elections](https://www.jacksoncountygov.com/197/Election-Results?categoryID=2026)
13159,Jasper,No,,2026-05-25,,,,,,,,,,Not reported,Not reported,Not reported,"Site shows 'Unofficial & Incomplete May 19, 2026 Election Results' as of May 21. No certification meeting notice found for May 20-21. Board meeting dates for May 2026 were 'To Be Determined'.",[Jasper County Elections](https://jaspercountyga.org/elections/)
13161,Jeff Davis,Unknown,,2026-05-25,,,,,,,,,,,,,"The official county website and external search results do not currently state whether the May 19, 2026 primary results have been certified. The statutory deadline for certification in Georgia is May 25, 2026. No specific meeting minutes or certification notices for the 2026 primary were found on the county's elections page or general government site.",[County Elections Page](https://jeffdaviscountyga.gov/elections)
13163,Jefferson,No,,2026-05-25,,,,,,,,,,,,,"As of May 21, 2026, the county website does not show certified results or a certification notice for the May 19 primary. Latest posted results are from Nov 2025.","[County Elections](https://www.jeffersoncountyga.gov/193/Elections), [Certified Results Page](https://www.jeffersoncountyga.gov/388/Certified-Election-Results)"
13165,Jenkins,No,,2026-05-25,2026-05-29,,Unknown,,,,Unknown,Jenkins County Board of Elections meetings are held in-person at the James L. Henry Administrative Building. No livestream links or social media broadcast channels were found.,[Jenkins County Board Meetings](https://www.jenkinscounty.net/board-meetings),"1,198","5,112",23.44%,"The election results are posted as ""Official and Complete,"" but no explicit certification vote was found as of May 21. A statewide audit is scheduled for May 29, 2026.","[County Elections Page](https://www.jenkinscounty.net/electionresults), [Official and Complete Results PDF](https://www.jenkinscounty.net/s/ELECTION-SUMMARY-REPORT-OFFICIAL+AND+COMPLETE.pdf)"
13167,Johnson,No,,2026-05-25,,,,,,,,,,323 (as of early/advance voting),5700,5.5% (early/advance only),"As of May 21, no certification notice or certified results found on the county website. Unofficial early turnout was 323 ballots cast (5.5%).","[Board of Elections | Johnson County GA](https://www.johnsonco.org/bc-be), [Johnson County - Georgia Votes](https://www.georgiavotes.com/county.php?c=83&a=1)"
13169,Jones,No,,2026-05-25,,,,,,,,,,"7,656 (calculated from SOS contest totals)","19,450 (estimated based on previous election data and Georgia voter trends)",39.36% (estimated),Results remain unofficial as of May 21. SOS reporting 10/10 precincts fully reported for all ballot items. Local news reports wins are unofficial until certified.,"[Jones County Elections](https://www.jonescountyga.org/county-directory/elections/), [The Jones County News](https://www.jcnews.com/news/jones-county-may-19-election-results), [Georgia SOS Results](https://results.sos.ga.gov/results/public/jones-county-ga/elections/GeneralPrimary51926)"
13171,Lamar,No,,2026-05-25,,,,,,,,,,"4,498 (aggregate of reported local race votes)","13,500 (estimated based on 18,500 population)",33.3% (estimated),"Final unofficial results posted May 19, 2026. Certification typically occurs several days later; no board meeting for certification listed as of May 21.","[Final Unofficial Results](https://barnesville.com/election-results-15/), [Lamar County Board of Elections](http://www.lamarcountyga.com/departments/board-of-elections/)"
13173,Lanier,No,,2026-05-25,,,,,,,,,,"1,059","5,922",17.88%,"Results for the May 19, 2026 primary are posted on the county website but are explicitly marked as ""Unofficial"" as of May 21, 2026. No certification notice found.",[County Elections](https://laniercountyboc.com/wp/elections-and-registration-notices/)
13175,Laurens,No,,2026-05-25,2026-05-25,,Unknown,,,,Unknown,"The public notice for the May 19, 2026 General Primary certification meeting (scheduled for May 26, 2026, at 10:00 a.m.) states that the meeting will be held in person at the Laurens County Board of Elections & Registration Office (117 East Jackson St, Suite A, Dublin, GA 31021). While some local political forums are broadcast by TV35 WDIG and posted to YouTube, there is no official confirmation of a livestream for the Board of Elections certification meeting.",[Laurens County Board of Elections Public Notice](https://www.laurenscoga.org/DocumentCenter/View/6700/COMPUTATION-CANVASSING-AND-TABULATION-NOTICE?bidId=),"8,981","33,379",26.91%,"As of May 21, results were reported as unofficial. Turnout: 26.91%. Matt Hatchett won GOP primary with 90%. Meeting for certification likely scheduled for before May 25 deadline.","[Courier Herald Today](https://courierheraldtoday.com/hatchett-wins-primary-in-landslide/), [Laurens County Board of Elections](https://www.laurenscoga.org/259/Board-of-Elections-Registration)"
13177,Lee,No,,2026-05-25,,,,,,,,,,"1,792 (Early/Absentee reported)","25,238",7.1% (Early/Absentee only),"Results remain unofficial as of May 21, 2026. The Board of Elections typically meets to certify within a week following the election. No certification notice found on site.","[Lee County Elections](https://www.leecountyga.gov/government/boards/elections-registrations), [Georgia Votes - Lee County](https://www.georgiavotes.com/county.php?c=88&a=1)"
13179,Liberty,No,,2026-05-25,,,,,,,,,,"8,877","38,301",23.2%,"Results remain unofficial as of May 21; Board of Elections scheduled canvassing for May 20. Turnout reported at 23.2% with 8,877 ballots cast.","[County Elections Page](https://libertycountyga.gov/323/Elections-Registration), [Coastal Courier](https://coastalcourier.com/news/williams-handily-wins-democratic-primary/)"
13181,Lincoln,No,,2026-05-25,,,,,,,,,,,,,"No certification notice found as of May 21, 2026. The county website redirects to the Secretary of State's page for results, which remain unofficial until the May 25 deadline.",[Lincoln County Elections](https://www.lincolncountyga.com/elections)
